feature,usage,usage_pct,is_dead,attack_ratio,corr_brightness,corr_boominess,corr_warmth,corr_hardness,corr_depth,corr_roughness,corr_sharpness,corr_loudness,corr_reverb
591,5.0,0.0015237957,False,0.0,-0.03413187,0.033332024,0.035414353,-0.039464403,0.03210657,-0.036799252,-0.03856946,0.01573515,0.10818098
592,2.0,0.00060951826,False,562.9911,-0.03688165,0.03526378,0.039837833,-0.043120958,0.034132592,-0.037401147,-0.039981835,0.020605884,0.10772082
593,11.0,0.00335235,False,9742.616,-0.03495992,0.032029495,0.03640625,-0.042699482,0.03075557,-0.03598608,-0.03852898,0.023337366,0.10911748
594,0.0,0.0,False,0.0,0.012391701,-0.040252917,-0.00987658,-0.0058036614,-0.020102343,0.024919856,0.022051884,0.07166771,0.99990124
595,1.0,0.00030475913,False,0.0,-0.034711383,0.03273137,0.036439016,-0.041390285,0.032135542,-0.036416575,-0.03807715,0.021090396,0.1073745
596,5.0,0.0015237957,False,4786.433,-0.032605253,0.031949893,0.03456692,-0.040311836,0.031159004,-0.0355082,-0.036678746,0.01919661,0.10697471
597,14.0,0.0042666276,False,1.512513,-0.0322674,0.030477941,0.03489932,-0.04077395,0.03203396,-0.034988068,-0.036263425,0.018319283,0.10746441
598,5.0,0.0015237957,False,208.52469,-0.03473079,0.03221143,0.036713548,-0.041251376,0.032556895,-0.036615454,-0.037844773,0.02014338,0.10831631
599,8.0,0.002438073,False,3111.5408,-0.033160403,0.031650472,0.035266574,-0.039884765,0.031451706,-0.03489128,-0.036813587,0.020374052,0.10984933
600,2.0,0.00060951826,False,0.0,-0.035625957,0.034255486,0.038422763,-0.04370125,0.0335498,-0.038320877,-0.039639056,0.01831832,0.108033605
601,2.0,0.00060951826,False,2231.585,-0.031256534,0.030770954,0.033217754,-0.038665447,0.031296365,-0.034961578,-0.034393024,0.019363975,0.10735196
602,4.0,0.0012190365,False,4271.9565,-0.03225934,0.031834044,0.035313547,-0.038987603,0.031179361,-0.035310473,-0.03555895,0.019357733,0.10821185
603,0.0,0.0,False,0.0,0.012391701,-0.040252917,-0.00987658,-0.0058036614,-0.020102343,0.024919856,0.022051884,0.07166771,0.99990124
604,1.0,0.00030475913,False,992.9886,-0.03465205,0.033304647,0.03726003,-0.041785005,0.032256868,-0.0348583,-0.038014356,0.01893028,0.10767367
605,5.0,0.0015237957,False,18.846968,-0.035584953,0.032667648,0.036619075,-0.043383613,0.030370545,-0.03715278,-0.039571688,0.0204337,0.10759327
606,3.0,0.0009142774,False,2.8434005,-0.033762712,0.03173587,0.035554405,-0.041962665,0.03142873,-0.03584179,-0.037356846,0.01937522,0.10755173
607,6.0,0.0018285548,False,56.725266,-0.033031445,0.031399116,0.034741808,-0.040440936,0.031556405,-0.03587494,-0.03629917,0.019291794,0.108459875
608,2.0,0.00060951826,False,0.0,-0.03440217,0.03286677,0.037080597,-0.0417942,0.032881234,-0.03659347,-0.037784416,0.020950751,0.10769318
609,3.0,0.0009142774,False,2849.2214,-0.03398016,0.032262918,0.036157727,-0.041992195,0.031394813,-0.036099862,-0.03801094,0.019210706,0.107769065
610,12.0,0.0036571096,False,20.426443,-0.034311917,0.031781636,0.035788044,-0.041209776,0.032971133,-0.037058257,-0.037284102,0.02017336,0.10775355
611,9.0,0.002742832,False,5286.996,-0.033033185,0.033352967,0.035896435,-0.041643757,0.033720892,-0.036817133,-0.036068242,0.017892577,0.1095176
612,1.0,0.00030475913,False,609.6992,-0.035314366,0.033961985,0.0383155,-0.044812143,0.03416234,-0.03710555,-0.038906634,0.019244468,0.10769861
613,2.0,0.00060951826,False,0.0,-0.033718534,0.033536535,0.036664937,-0.04051227,0.033005696,-0.036686983,-0.037815735,0.022041414,0.10745874
